Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-02-28,265.531,275.152,251.684,267.937,1150240.9451854
2020-03-02,276.983,286.703,261.681,273.618,703899.58171582
2020-03-03,283.813,295.265,279.191,294.206,774910.4785838
2020-03-04,288.91,292.86,281.408,284.387,428714.42328721
2020-03-05,291.513,293.919,283.041,286.317,315512.83334797
2020-03-06,283.427,283.714,272.272,282.081,378272.49960501
2020-03-09,255.911,273.232,249.655,259.761,734033.19310336
2020-03-10,264.571,269.382,257.841,260.048,472278.13244765
2020-03-11,260.721,261.394,232.819,241.479,828641.98312425
2020-03-12,219.358,226.088,197.414,207.906,1385792.5140907
2020-03-13,221.278,243.41,215.309,234.65,1285163.2657362
2020-03-16,226.959,261.681,213.577,242.44,1020891.5140738
2020-03-17,252.06,262.453,245.518,258.415,894953.91175769
2020-03-18,259.276,270.54,245.617,248.507,743298.77849983
2020-03-19,248.507,263.126,246.775,263.126,532131.12667485
2020-03-20,270.342,272.559,246.676,256.396,971500.31646421
2020-03-23,247.349,261.681,240.519,255.139,456319.21990566
2020-03-24,266.591,269.956,258.128,266.115,450855.44432784
2020-03-25,273.232,276.785,261.681,267.076,398012.0053815
2020-03-26,265.442,271.114,263.126,270.441,306440.217836
2020-03-27,271.787,273.034,264.185,268.422,295229.77889158
2020-03-30,269.382,270.253,262.839,270.253,290018.58169662
2020-03-31,272.272,278.904,270.54,278.141,369093.80117224
2020-04-01,272.747,276.983,268.422,271.401,279083.95834628
2020-04-02,271.401,276.884,266.016,276.884,300843.08087204
2020-04-03,278.042,286.505,274.291,285.733,430412.7603335
2020-04-06,293.434,306.618,292.761,306.133,414741.78714795
2020-04-07,316.526,319.03,291.217,291.217,589101.69639696
2020-04-08,283.813,299.976,281.893,297.185,315750.25702785
2020-04-09,318.446,321.237,307.578,316.526,715578.8061388
2020-04-14,318.446,329.799,312.289,329.027,430449.13162063
2020-04-15,330.67,331.818,325.473,329.225,594271.47073714
2020-04-16,329.799,331.531,320.079,321.524,432904.19350193
2020-04-17,325.473,331.145,324.216,326.621,242244.89605084
2020-04-20,326.146,332.877,322.296,332.105,232886.36180948
2020-04-21,329.611,331.145,323.256,323.256,194807.64481102
2020-04-22,323.256,333.837,321.336,333.837,269900.20834585
2020-04-23,329.997,341.251,329.027,341.251,315786.62831498
2020-04-24,338.271,359.245,330.957,349.624,463682.3849225
2020-04-27,353.564,359.819,352.217,354.049,340925.24960327
2020-04-28,354.336,358.275,344.715,345.487,341774.92328318
2020-04-29,345.487,351.257,340.003,347.506,266639.92658003
2020-04-30,348.941,353.564,338.073,344.042,338894.51940516
2020-05-04,337.687,351.158,335.381,344.329,255648.72567192
2020-05-05,346.635,347.308,337.885,343.943,213644.94060397
2020-05-06,347.793,349.812,342.785,346.348,449897.66710008
2020-05-07,346.348,349.426,340.676,342.112,205125.9769072
2020-05-08,345.576,346.061,339.132,341.439,199686.44885415
2020-05-11,344.428,349.812,340.676,349.238,246662.99712365
2020-05-12,347.12,361.65,346.833,358.661,438679.14564741
2020-05-13,356.929,365.203,356.355,365.104,286787.5990232
2020-05-14,362.798,364.243,350.386,355.969,354786.75125408
2020-05-15,356.068,360.393,352.405,357.028,249802.04126571
2020-05-18,361.165,370.588,356.929,370.588,254547.4839227
2020-05-19,373.379,374.25,363.372,365.302,257389.49588653
2020-05-20,367.322,382.327,365.778,380.021,339130.93277151
2020-05-21,379.833,385.019,376.556,377.714,335741.33087366
2020-05-22,375.21,381.852,374.052,378.486,233678.4476181
2020-05-25,380.407,387.81,380.407,382.426,119363.49216725
2020-05-26,384.831,401.855,382.911,397.342,448826.73475679
2020-05-27,397.342,397.817,366.55,367.035,736569.08006717
2020-05-28,374.349,384.544,370.687,383.871,390406.36511712
2020-05-29,395.412,397.243,378.19,388.483,877827.07677339
2020-06-01,389.641,392.235,379.734,381.852,219745.21370656
2020-06-02,380.981,382.327,370.885,373.478,502551.16710252
2020-06-03,375.21,382.911,371.36,373.379,284426.49630032
2020-06-04,371.944,379.348,371.36,377.714,302124.15842986
2020-06-05,379.536,380.981,373.765,375.784,397093.63038146
2020-06-08,371.459,373.765,356.741,356.741,483174.3638838
2020-06-09,357.889,371.271,338.845,371.271,404490.13574484
2020-06-10,373.765,378.289,366.55,378.289,290823.80158115
2020-06-12,363.758,373.963,357.8,364.916,346112.19927348
2020-06-15,360.779,367.322,358.859,358.948,311596.85810026
2020-06-16,363.471,370.885,361.165,364.916,159047.59736711
2020-06-17,369.242,376.556,363.184,372.706,282705.93235635
2020-06-18,372.706,381.466,371.558,372.617,192659.71824326
2020-06-19,359.245,378.962,359.146,377.804,895492.40886992
2020-06-22,375.21,393.492,373.29,391.661,476218.35522011
2020-06-23,391.859,396.372,385.019,388.681,249623.21577065
2020-06-24,394.452,397.243,389.641,392.146,199597.54126338
2020-06-25,392.532,396.956,389.641,396.956,235049.44308021
2020-06-26,399.262,400.707,380.021,380.308,555593.63781455
2020-06-29,379.061,387.622,375.21,386.375,304682.27229136
2020-06-30,384.831,389.829,378.863,379.922,304978.29415606
2020-07-01,380.506,388.78,375.21,387.909,234646.32798118
2020-07-02,389.542,393.106,385.702,389.542,222227.55405321
2020-07-03,391.562,394.264,388.483,390.602,112533.77269499
2020-07-06,394.264,394.937,388.582,389.641,168158.60479328
2020-07-07,389.641,391.948,385.217,389.067,195828.06147773
2020-07-08,389.067,389.74,381.852,383.97,189354.98268205
2020-07-09,384.059,385.702,371.271,371.271,456408.12749642
2020-07-10,366.837,371.36,364.629,365.589,406171.29746109
2020-07-13,368.48,370.786,354.722,355.484,472043.73970836
2020-07-14,352.989,353.95,337.786,340.478,649432.56892451
2020-07-15,343.844,364.817,343.844,351.158,586477.91215592
2020-07-16,352.118,356.454,347.892,354.336,225394.88697415
2020-07-17,355.395,357.513,352.316,356.929,228106.56849243
2020-07-20,357.889,378.387,357.8,378.19,323740.82674769
2020-07-21,381.941,382.911,365.589,366.55,425351.08954118
2020-07-22,366.837,371.36,360.779,368.48,312697.08953596
