Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
11/30/2021,191.52,191.52,191.52,191.52,0,0
12/1/2021,183.54,185,185.6,178.1,81.93,-3.4
12/2/2021,182.5,180,183.7,177.5,64.92,-2.7
12/3/2021,181.58,181.46,183.58,179.92,113.08,0.81
12/6/2021,182.1,184,185.34,181.1,51.1,1.4
12/7/2021,184.9,185.58,189.68,183.4,68.02,0.86
12/8/2021,185.4,186.2,188.06,183.54,46.58,0.33
12/9/2021,184,180.14,186.76,178.58,57.91,-3.25
12/10/2021,179.78,178.54,181.3,178.06,26.4,-0.89
12/13/2021,178.66,182.62,183.58,178.66,48.53,2.29
12/14/2021,182.62,172.92,184.26,172.92,79.09,-5.31
12/15/2021,173.2,179,181.56,172.94,66.15,3.52
12/16/2021,183.5,183.96,187.24,181,85.37,2.77
12/17/2021,182.72,188.96,189.06,182.1,141.13,2.72
12/20/2021,184.24,193.04,193.04,184.06,78.05,2.16
12/21/2021,191,191.36,193,187.02,42.22,-0.87
12/22/2021,191.4,197.84,197.84,191,65.29,3.39
12/23/2021,197.84,194.58,197.86,191.22,43.48,-1.65
12/24/2021,194.58,194.58,194.58,194.58,0,0
12/27/2021,191.18,195.28,197.26,188.2,58.77,0.36
12/28/2021,194,190.5,195.2,189.6,49.79,-2.45
12/29/2021,189.5,190.12,193.5,188.52,31.09,-0.2
12/30/2021,189.2,192.9,192.9,189.2,31.2,1.46
12/31/2021,192.9,192.9,192.9,192.9,0,0
